"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","dnt_is_foreign","dnt_objectType_encoded","sizeAssets","debtor_ua_firstname","debtor_ukr_firstname","organization_ua_company_name","organization_eng_company_code","person","assetsCurrency","debtor_eng_sameRegLivingAddress","organization_ukr_company_name","debtor_ua_lastname","organization_extendedstatus","objectType","dnt_sizeAssets_hidden","organization_ukr_company_address","otherObjectType","organization_eng_company_name","debtor_ua_middlename","debtor_eng_firstname","organization_eng_company_address","organization_ua_company_code","iteration","organization","organization_type","debtor_ukr_lastname","debtor_eng_lastname","debtor_eng_middlename","debtor_ukr_middlename","debtor_ua_sameRegLivingAddress","object_id","ownershipType","otherOwnership","percent.ownership","organization_ua_company_name_extendedstatus","organization_ua_company_code_extendedstatus","sizeAssets_extendedstatus","otherObjectType_extendedstatus","organization_eng_company_code_extendedstatus","assetsCurrency_extendedstatus","organization_eng_company_name_extendedstatus","organization_ukr_company_name_extendedstatus","organization_eng_company_address_extendedstatus","organization_ukr_company_address_extendedstatus","declarant","subjectRelation","in_hryvnias"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","cash",200000,"","","","","1","UAH","","","","1","Готівкові кошти","FALSE","","","","","","","","1477564642168","","","","","","","","1477564642168","Спільна власність","",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,200000
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","bank",15497,"","","ПАТ ""Державний Ощадний банк України""","","1","UAH","","","",NA,"Кошти, розміщені на банківських рахунках","FALSE","","","","","","","00032129","1477565579606","j","Юридична особа, зареєстрована в Україні","","","","","","1477565579606","Власність","",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,15497
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","cash",375000,"","","","","1","USD","","","","1","Готівкові кошти","FALSE","","","","","","","","1477564499926","","","","","","","","1477564499926","Спільна власність","",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,10525208.62
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","bank",3870,"","","ПАТ ""Державний Ощадний банк України""","","1476705147748","USD","","","",NA,"Кошти, розміщені на банківських рахунках","FALSE","","","","","","","00032129","1490101816031","j","Юридична особа, зареєстрована в Україні","","","","","","1490101816031","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина",108620.15
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","cash",70000,"","","","","1","EUR","","","","1","Готівкові кошти","FALSE","","","","","","","","1477564589241","","","","","","","","1477564589241","Спільна власність","",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,2344679.68
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","bank",2960,"","","ПАТ ""Державний Ощадний банк України""","","1","USD","","","",NA,"Кошти, розміщені на банківських рахунках","FALSE","","","","","","","00032129","1490101704262","j","Юридична особа, зареєстрована в Україні","","","","","","1490101704262","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA,83078.98
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","bank",1963875,"","","ПАТ ""Державний Ощадний банк України""","","1476705147748","UAH","","","",NA,"Кошти, розміщені на банківських рахунках","FALSE","","","","","","","00032129","1477563899710","j","Юридична особа, зареєстрована в Україні","","","","","","1477563899710","Власність","",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина",1963875
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","FALSE","cash",900000,"","","","","1","UAH","","","","1","Готівкові кошти","FALSE","","","","","","","","1477656593587","","","","","","","","1477656593587","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA,900000
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","FALSE","cash",43000,"","","",NA,"1","USD","","","","1","Готівкові кошти","FALSE",NA,"","","","",NA,NA,NA,"","","","","","","","1477505680516","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA,1206890.59
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","cash",200000,"","","","","1476743018040","UAH","","","","1","Готівкові кошти","FALSE","","","","","","","","1477343945254","","","","","","","","1477343945254","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина",200000
