"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","emitent_eng_company_name","emitent_ua_firstname","emitent_ukr_fullname","emitent_ukr_company_address","margin.emitent","paid","emitent_ua_lastname","description","emitent_eng_company_address","emitent_ua_company_code","emitent_eng_company_code","emitent_ua_middlename","emitent_ua_company_name","emitent_ukr_company_name","emitent_ua_sameRegLivingAddress","emitent_eng_fullname","emitent_citizen","object_id","iteration","emitent_ua_company_code_extendedstatus","emitent_ua_company_name_extendedstatus","emitent_eng_company_code_extendedstatus","emitent_eng_lastname","emitent_eng_middlename","emitent_eng_firstname"
"Арешонков Володимир Юрійович","Верховна Рада України","Народний депутат України","nacp_768dd957-8066-4215-8143-4d852f28baaa","Арешонков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_768dd957-8066-4215-8143-4d852f28baaa","Володимир","","","","","j","Оплачувана","","викладацька","","02125208","","","Житомирський державний університет імені І.Я.Франка","","","","Юридична особа, зареєстрована в Україні","1476987500350",NA,NA,NA,NA,NA,NA,NA
"Кремінь Тарас Дмитрович","Верховна Рада України","Народний депутат України","nacp_ec7165e9-0656-4bbf-b859-c120b820c39e","Кремінь","FALSE","Дмитрович",2018-03-22,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ec7165e9-0656-4bbf-b859-c120b820c39e","Тарас","","","","","j","Оплачувана","","викладач","","2125444","","","Миколаївський національний університет ім. В.О. Сухомлинського","","","","Юридична особа, зареєстрована в Україні","1477555894862",NA,NA,NA,NA,NA,NA,NA
"Кремінь Тарас Дмитрович","Верховна Рада України","Народний депутат України","nacp_ec7165e9-0656-4bbf-b859-c120b820c39e","Кремінь","FALSE","Дмитрович",2018-03-22,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ec7165e9-0656-4bbf-b859-c120b820c39e","Тарас","","","","","j","Оплачувана","","викладач","","497213","","","Миколаївський національний аграрний університет","","","","Юридична особа, зареєстрована в Україні","1477556111375",NA,NA,NA,NA,NA,NA,NA
"Вітко Артем Леонідович","Управління справами Апарату Верховна Рада України","народний депутат України","nacp_fa917250-bdcd-4123-b19d-2d1e222ce0a2","Вітко","TRUE","Леонідович",2018-04-02,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fa917250-bdcd-4123-b19d-2d1e222ce0a2","Артем","","","","","j","Не оплачувана","","Президент","","20069979","","","ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ВСЕУКРАЇНСЬКА АСОЦІАЦІЯ ПРАЦІВНИКІВ ПРОФЕСІЙНО-ТЕХНІЧНОЇ ОСВІТИ""","","","","Юридична особа, зареєстрована в Україні","1521188251992","1521188251992",NA,NA,NA,NA,NA,NA
"Заболотний Григорій Михайлович","Верховна Рада України","Народний депутат України","nacp_ad31f5a2-6dd8-4803-aa07-b2c9ad91c748","Заболотний","FALSE","Михайлович",2018-03-13,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ad31f5a2-6dd8-4803-aa07-b2c9ad91c748","Григорій","","","","","j","Оплачувана","","Професор","","00497236","","","Вінницький національний аграрний університет","","","","Юридична особа, зареєстрована в Україні","1477566790573","1477566790573",NA,NA,NA,NA,NA,NA
"Немировський Андрій Валентинович","Верховна Рада України","Народний депутат України","nacp_ae2764f1-351a-4a08-a6dc-e8362489236d","Немировський","FALSE","Валентинович",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ae2764f1-351a-4a08-a6dc-e8362489236d","Андрій","","","","","j","Не оплачувана","","президент громадської спілки ""національної асоціації захисників тварин та навколишнього природного середовища""","","41369881","","","громадська спілка ""національна асоціація захисників тварин та навколишнього природного середовища""","","","","Юридична особа, зареєстрована в Україні","1522137743416","1522137743416",NA,NA,NA,NA,NA,NA
"Брензович Василь Іванович","Верховна Рада України","Народний депутат України","nacp_bf5940db-7914-4f9a-9279-f251e1ef48c0","Брензович","FALSE","Іванович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_bf5940db-7914-4f9a-9279-f251e1ef48c0","Василь","","","","","j","Оплачувана","","Викладач","","22112656","","","""ЗАКАРПАТСЬКИЙ УГОРСЬКИЙ ІНСТИТУТ ІМЕНІ ФЕРЕНЦА РАКОЦІ ІІ"" ( ЗУІ ІМ.ФЕРЕНЦІ РАКОЦІ ІІ )","","","","Юридична особа, зареєстрована в Україні","1477634731332","1477634731332",NA,NA,NA,NA,NA,NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","","","","","j","Оплачувана","","викладацька діяльність","","02070944","","","Київський Національний університет імені Тараса Шевченка","","","","Юридична особа, зареєстрована в Україні","1520358428908","1520358428908","0","0",NA,NA,NA,NA
"Юринець Оксана Василівна","Верховна Рада України","народний депутат України","nacp_704c0aa8-9beb-4033-98e6-d2b91a1a0957","Юринець","FALSE","Василівна",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_704c0aa8-9beb-4033-98e6-d2b91a1a0957","Оксана","","","","","j","Оплачувана","","професор кафедри зовнішньоекономічної та митної діяльності ІНЕМ","","02071010","","","Національний Університет ""Львівська Політехніка""","","","","Юридична особа, зареєстрована в Україні","1477608133887","1477608133887",NA,NA,NA,NA,NA,NA
"Козир Борис Юрійович","Верховна рада України","Народний депутат України, заступник голови Комітету ВРУ з питань транспорту","nacp_d62d0194-c511-4dbe-a305-a08684e6e640","Козир","FALSE","Юрійович",2018-02-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d62d0194-c511-4dbe-a305-a08684e6e640","Борис","","","","","j","Оплачувана","","Викладацька діяльність","","02066753","","","Національний університет кораблебудування імені адмірала Макарова","","","","Юридична особа, зареєстрована в Україні","1477569490335","1477569490335",NA,NA,NA,NA,NA,NA
"Рябчин Олексій Михайлович","Верховна Рада України","Народний депутат","nacp_30ab4b26-ba81-45d4-8da5-8bde77d3b5f5","Рябчин","TRUE","Михайлович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_30ab4b26-ba81-45d4-8da5-8bde77d3b5f5","Олексій","","","","","j","Оплачувана","","Доцент кафедри ""Міжнародні економічні відносини""","","02070803","","","Донецький Національний Університет (м.Вінниця)","","","","Юридична особа, зареєстрована в Україні","1476655643292","1476655643292","0",NA,NA,NA,NA,NA
"Мусій Олег Степанович","Верховна Рада України","Народний депутат України, заступник голови Комітету ВРУ з питань охорони здоров'я","nacp_5ad2e5f7-1893-468d-9372-512d694a3ab8","Мусій","TRUE","Степанович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5ad2e5f7-1893-468d-9372-512d694a3ab8","Олег","","","","","j","Не оплачувана","","Голова правління","","25777818","","","Київське лікарське товариство","","","","Юридична особа, зареєстрована в Україні","1487360735650","1487360735650",NA,NA,NA,NA,NA,NA
"Мусій Олег Степанович","Верховна Рада України","Народний депутат України, заступник голови Комітету ВРУ з питань охорони здоров'я","nacp_5ad2e5f7-1893-468d-9372-512d694a3ab8","Мусій","TRUE","Степанович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5ad2e5f7-1893-468d-9372-512d694a3ab8","Олег","","","","","j","Не оплачувана","","Президент","","20071736","","","Всеукраїнське лікарське товариство","","","","Юридична особа, зареєстрована в Україні","1487360404075","1487360404075",NA,NA,NA,NA,NA,NA
"Вовк Віктор Іванович","Верховна Рада України","Народний депутат України, заступник голови Комітету у закордонних справах","nacp_f1b2bb6e-0767-4e81-8e6d-de313230535d","Вовк","FALSE","Іванович",2018-03-06,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1b2bb6e-0767-4e81-8e6d-de313230535d","Віктор","","","","","j","Не оплачувана","","Віце-президент","","33636930","","","Громадська організація ""Українська асоціація Римського клубу""","","","","Юридична особа, зареєстрована в Україні","1477122066597","1477122066597",NA,NA,NA,NA,NA,NA
"Величкович Микола Романович","Верховна Рада України","Народний депутат України","nacp_23381fe7-eeb2-4df0-84d1-a13abd2c4fc8","Величкович","FALSE","Романович",2018-02-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23381fe7-eeb2-4df0-84d1-a13abd2c4fc8","Микола","","","","","j","Оплачувана","","Старший викладач, викладацька діяльність","","34606048","","","Львівський державний університет фізичної культури","","","","Юридична особа, зареєстрована в Україні","1476197529675","1476197529675",NA,NA,NA,NA,NA,NA
"Романова Анна Анатоліївна","Верховна Рада України","Народний депутат України","nacp_e9c63c48-afea-4b71-97d6-982eeb4ee822","Романова","FALSE","Анатоліївна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e9c63c48-afea-4b71-97d6-982eeb4ee822","Анна","","","","","j","Оплачувана","","Викладач (доцент)","","05460798","","","Чернігівський національний технологічний університет ","","","","Юридична особа, зареєстрована в Україні","1477572591578","1477572591578",NA,NA,NA,NA,NA,NA
"Веселова Наталія Василівна","Верховна рада Україна","Народний депутат України","nacp_063ed766-27eb-4622-aa28-7bb769b672ec","Веселова","FALSE","Василівна",2018-03-27,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_063ed766-27eb-4622-aa28-7bb769b672ec","Наталія","","","","","j","Оплачувана","","Викладацька діяльність","","02125295","","","НПУ ім.М.П.Драгоманова","","","","Юридична особа, зареєстрована в Україні","1490026728266","1490026728266",NA,NA,NA,NA,NA,NA
"Мірошниченко Юрій Романович","Верховна Рада України","Голова підкомітету з питань реформування пенітенціарної системи, діяльності органів виконання покарань та пробації Комітету Верховної Ради України з питань законодавчого забезпечення правоохоронної діяльності, народний депутат України","nacp_1f8984dd-bbe6-43de-9a37-28d9b50048eb","Мірошниченко","FALSE","Романович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_1f8984dd-bbe6-43de-9a37-28d9b50048eb","Юрій","","","","","j","Не оплачувана","","Професор кафедри теорії та історії держави і права","","00127522","","","Приватне акціонерне товариство ""Вищий навчальний заклад ""Міжрегіональна академія управління персоналом""","","","","Юридична особа, зареєстрована в Україні","1477559994851",NA,NA,NA,NA,NA,NA,NA
"Єленський Віктор Євгенович","Верховна Рада України","народний депутат","nacp_134a695d-fbee-4cef-a50e-b00b5b28471a","Єленський","FALSE","Євгенович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_134a695d-fbee-4cef-a50e-b00b5b28471a","Віктор","","","","","j","Оплачувана","","Професор ","","02125295","","","Національний педагогічний університет імені Драгоманова","","","","Юридична особа, зареєстрована в Україні","1477131240307","1477131240307","0",NA,NA,NA,NA,NA
"Голуб Владислав Володимирович","Верховна Рада України","народний депутат України","nacp_432e7d10-13fd-4556-96a7-533af7f21849","Голуб","FALSE","Володимирович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_432e7d10-13fd-4556-96a7-533af7f21849","Владислав","","","","","j","Не оплачувана","","Голова","","14182393","","","ГРОМАДСЬКА СПІЛКА ""ФЕДЕРАЦІЯ ФУТБОЛУ ЧЕРКАСЬКОЇ ОБЛАСТІ"" (ГС ""ФЕДЕРАЦІЯ ФУТБОЛУ ЧЕРКАСЬКОЇ ОБЛАСТІ"")","","","","Юридична особа, зареєстрована в Україні","1476889377788","1476889377788",NA,NA,NA,NA,NA,NA
"Ємець Леонід Олександрович","Верховна Рада України","народний депутат","nacp_5594d772-ab1c-4f1f-a530-d998a5de184f","Ємець","FALSE","Олександрович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5594d772-ab1c-4f1f-a530-d998a5de184f","Леонід","","","","","j","Оплачувана","","провідний науковий співробітник відділу організації наукової роботи","","32495593","","","Дніпровський гуманітарний університет","","","","Юридична особа, зареєстрована в Україні","1490343748372","1490343748372",NA,NA,NA,NA,NA,NA
"Антонищак Андрій Федорович","Верховна Рада України","народний депутат України","nacp_c21a1cac-9b92-4348-9322-d870e539b092","Антонищак","FALSE","Федорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c21a1cac-9b92-4348-9322-d870e539b092","Андрій","","","","","j","Не оплачувана","","Голова (керівник)","","35816616","","","ГО Я Львівянин ","","","","Юридична особа, зареєстрована в Україні","1491422002860","1491422002860",NA,NA,NA,NA,NA,NA
"Антонищак Андрій Федорович","Верховна Рада України","народний депутат України","nacp_c21a1cac-9b92-4348-9322-d870e539b092","Антонищак","FALSE","Федорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c21a1cac-9b92-4348-9322-d870e539b092","Андрій","","","","","j","Не оплачувана","","Віце-президент","","21704946","","","ВГО АППУ","","","","Юридична особа, зареєстрована в Україні","1491421855901","1491421855901",NA,NA,NA,NA,NA,NA
"Чижмарь Юрій Васильович","Верховна Рада України","Народний депутат","nacp_b74b9b1a-0a85-4d2d-8116-28f5275a3816","Чижмарь","FALSE","Васильович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b74b9b1a-0a85-4d2d-8116-28f5275a3816","Юрій","","","","","j","Оплачувана","","викладач","","30373644","","","Відкритий міжнародний університет розвитку людини ""Україна""","","","","Юридична особа, зареєстрована в Україні","1522095460603","1522095460603",NA,NA,NA,NA,NA,NA
"Звягільський Юхим Леонідович","Верховна Рада України","Народний депутат України, член Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки","nacp_f34bd828-73dc-4e0a-ae13-02fe6ac9e7aa","Звягільський","FALSE","Леонідович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f34bd828-73dc-4e0a-ae13-02fe6ac9e7aa","Юхим","","","","","j","Не оплачувана","","Організація зборів уповноважених осіб","","25807979","","","ОРГАНІЗАЦІЯ ОРЕНДАРІВ ШАХТИ ІМЕНІ О.Ф.ЗАСЯДЬКА","","","","Юридична особа, зареєстрована в Україні","1477400858410","1477400858410",NA,NA,NA,NA,NA,NA
"Сироїд Оксана Іванівна","Верховна Рада України","Народний депутат України","nacp_d6f615b4-6c2b-4050-b7d7-c429c195130f","Сироїд","FALSE","Іванівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d6f615b4-6c2b-4050-b7d7-c429c195130f","Оксана","","","","","j","Оплачувана","","Старший викладач","","16459396","","","Національний Університет ""Києво-Могилянська Академія""","","","","Юридична особа, зареєстрована в Україні","1477557589633",NA,NA,NA,NA,NA,NA,NA
"Павленко Юрій Олексійович","Верховна Рада України восьмого скликання","народний депутат України, член Комітету Верховної Ради України з питань свободи слова та інформаційної політики","nacp_a949e072-e347-42e6-b973-dbb19ad6c841","Павленко","FALSE","Олексійович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a949e072-e347-42e6-b973-dbb19ad6c841","Юрій","","","","","j","Оплачувана","","Старший викладач","","02928433","","","НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ФІЗИЧНОГО ВИХОВАННЯ І СПОРТУ УКРАЇНИ ( НУФВСУ )","","","","Юридична особа, зареєстрована в Україні","1477319878149",NA,NA,NA,NA,NA,NA,NA
"Кривенко Віктор Миколайович","Верховна Рада України","народний депутат України","nacp_bfdbea9f-3484-4ff4-9f10-d07c302d0c9b","Кривенко","FALSE","Миколайович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_bfdbea9f-3484-4ff4-9f10-d07c302d0c9b","Віктор","","","","","j","Оплачувана","","викладач","","02928433","","","Національний університет фізичного виховання і спорту","","","","Юридична особа, зареєстрована в Україні","1477673575861","1477673575861","0","3",NA,NA,NA,NA
"Констанкевич Ірина Мирославівна","Верховна Рада Україні","Народний депутат","nacp_bdb8f520-2812-4876-95b1-7434ba7bcb26","Констанкевич","TRUE","Мирославівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_bdb8f520-2812-4876-95b1-7434ba7bcb26","Ірина","","","","","j","Оплачувана","","Професор кафедри української літератури","","02125102","","","Східноєвропейський національний університет імені Лесі Українки","","","","Юридична особа, зареєстрована в Україні","1477751928667","1477751928667",NA,"0",NA,NA,NA,NA
"Мацола Роман Миколайович","Верховна Рада України","Народний депутат","nacp_cf0a16ba-c4b4-4bf9-a82f-245cc05d986e","Мацола","FALSE","Миколайович",2018-02-14,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_cf0a16ba-c4b4-4bf9-a82f-245cc05d986e","Роман","","","","","1518531034439","Не оплачувана","","Голова ОСББ ""Люкс ПЛЮС""","","","","","","","","","","1518602777078","1518602777078",NA,NA,NA,NA,NA,NA
"Галасюк Віктор Валерійович","Верховна Рада України ","Народний депутат України, Голова Комітету Верховної Ради України з питань промислової політики та підприємництва","nacp_c1fc262c-c038-44c7-8e98-6117cef6cf27","Галасюк","FALSE","Валерійович",2018-02-02,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c1fc262c-c038-44c7-8e98-6117cef6cf27","Віктор","","","","","j","Не оплачувана","","Президент","","33636930","","","Українська асоціація Римського клубу","","","","Юридична особа, зареєстрована в Україні","1516883268416","1516883268416",NA,NA,NA,NA,NA,NA
"Галасюк Віктор Валерійович","Верховна Рада України ","Народний депутат України, Голова Комітету Верховної Ради України з питань промислової політики та підприємництва","nacp_c1fc262c-c038-44c7-8e98-6117cef6cf27","Галасюк","FALSE","Валерійович",2018-02-02,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c1fc262c-c038-44c7-8e98-6117cef6cf27","Віктор","","","","","j","Не оплачувана","","Президент","","39316521","","","Асоціація ""Інноваційний розвиток України"" (АИРУ)","","","","Юридична особа, зареєстрована в Україні","1516883221584","1516883221584",NA,NA,NA,NA,NA,NA
"Бригинець Олександр Михайлович","Верховна Рада України","Народний депутат України","nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Бригинець","FALSE","Михайлович",2018-03-20,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Олександр","","","","","j","Не оплачувана","","Член ради з питань розвитку","","33403498","","","Національний культурно-мистецький та музейний комплекс ""Мистецький арсенал""","","","","Юридична особа, зареєстрована в Україні","1478271844855","1478271844855",NA,NA,NA,NA,NA,NA
"Бригинець Олександр Михайлович","Верховна Рада України","Народний депутат України","nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Бригинець","FALSE","Михайлович",2018-03-20,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Олександр","","","","","j","Не оплачувана","","Член Колегії Головної ради","","03922197","","","Українське товариство охорони пам'яток історії та культури","","","","Юридична особа, зареєстрована в Україні","1478272189714","1478272189714",NA,NA,NA,NA,NA,NA
"Бригинець Олександр Михайлович","Верховна Рада України","Народний депутат України","nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Бригинець","FALSE","Михайлович",2018-03-20,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Олександр","","","","","j","Не оплачувана","","Радник міністра інформаційної політики","","39601044","","","Міністерство інформаційної політики","","","","Юридична особа, зареєстрована в Україні","1477513790730","1477513790730","0","0",NA,NA,NA,NA
"Шкварилюк Володимир Васильович","Верховна Рада України","Народний депутат України, Секретар Комітету Верховної Ради України з питань бюджету","nacp_5349ef20-a685-4636-a5c8-cb472718238d","Шкварилюк","FALSE","Васильович",2018-03-20,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5349ef20-a685-4636-a5c8-cb472718238d","Володимир","","","","","j","Оплачувана","","викладач","","33680120","","","Тернопільський національний економічний університет","","","","Юридична особа, зареєстрована в Україні","1490005595536","1490005595536",NA,NA,NA,NA,NA,NA
"Довбенко Михайло Володимирович","Верховна Рада України","Народний депутат України, Перший заступник Голови Комітету з питань фінансової політики і банківської діяльності","nacp_1ffd57da-5f2a-4f41-9182-4723c4f5969f","Довбенко","FALSE","Володимирович",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_1ffd57da-5f2a-4f41-9182-4723c4f5969f","Михайло","","","","","j","Не оплачувана","","Директор","","25728961","","","ГРОМАДСЬКА ОРГАНІЗАЦІЯ ""ІНСТИТУТ ВІДКРИТОЇ ПОЛІТИКИ""","","","","Юридична особа, зареєстрована в Україні","1477578456481","1477578456481",NA,NA,NA,NA,NA,NA
