"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","addition_middlename","ua_postCode_extendedstatus","addition_ua_fullName","eng_regNumber","postCode","addition_eng_company_name","addition_lastname","otherObjectType","addition_ua_company_name","ua_street","unfinishConstruct","belongsSubjectOfDeclaration","ua_postCode","isThirdOwner","addition_eng_company_code","ua_cityType","addition_ua_company_address","objectType","dnt_objectType_encoded","thirdOwner_citizen","cadNumber_extendedstatus","district","totalArea","regNumber_extendedstatus","builtMaterialsOrFunds","person","actualAddressEqualRegAddress","dnt_totalArea_hidden","cityPath","city","addition_eng_fullName","ua_streetType","region","addition_company_name","dontRegistered","addition_company_code","ua_city_full","iteration","ua_housePartNum_extendedstatus","addition_eng_company_address","exploitation","addition_firstname","country","object_id","addition_regAddress_extendedstatus","city_extendedstatus","ua_apartmentsNum_extendedstatus","flag_thirdOwner","totalArea_extendedstatus","ua_houseNum_extendedstatus","ownershipType","otherOwnership","percent.ownership","addition_birthday_extendedstatus","addition_actualAddress_extendedstatus","ua_streetType_extendedstatus","region_extendedstatus","ua_street_extendedstatus","district_extendedstatus","ua_region","ua_area","eng_regNumber_extendedstatus","declarant","subjectRelation"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","08131","FALSE","","Софіївська Борщагівка / Києво-Святошинський район / Київська область / Україна","","Житловий будинок","house","",NA,"[Конфіденційна інформація]",263,"2","TRUE","1476743018040","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1490733255337","1","","FALSE","","1","1490733255337",NA,NA,"1","1",NA,"1","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","08170","FALSE","","Віта-Поштова / Києво-Святошинський район / Київська область / Україна","","Житловий будинок","house","",NA,"[Конфіденційна інформація]",0,"2","TRUE","1","","TRUE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1490727660684","1","","FALSE","","1","1490727660684",NA,"1","1","1","2","1","Власність","",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"Алексєєв Ігор Сергійович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","",NA,"","","[Конфіденційна інформація]","","","нежитлове приміщення 5 в літ. А","","[Конфіденційна інформація]","FALSE","FALSE","04070","FALSE","","Київ / Україна","","Інше","other","","2","[Конфіденційна інформація]",8.1,"0","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1477642461348","1","","FALSE","","1","1477642461348",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","FALSE","FALSE","04070","FALSE","","Київ / Україна","","Квартира","apt","","1","[Конфіденційна інформація]",261.5,"0","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1477498627937","1","","FALSE","","1","1477498627937",NA,NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","",NA,"","","[Конфіденційна інформація]","","","нежитлове приміщення 4, літ Б","","[Конфіденційна інформація]","FALSE","FALSE","04070","FALSE","","Київ / Україна","","Інше","other","","1","[Конфіденційна інформація]",62,"0","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1477498967304","1","","FALSE","","1","1477498967304",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","",NA,"","","[Конфіденційна інформація]","","","нежитлове приміщення 6 в літері А","","[Конфіденційна інформація]","FALSE","FALSE","04070","FALSE","","Київ / Україна","","Інше","other","","2","[Конфіденційна інформація]",8.2,"0","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1477642677900","1","","FALSE","","1","1477642677900",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","",NA,"","","[Конфіденційна інформація]","","","нежитлове приміщення 3 в літері А","","[Конфіденційна інформація]","FALSE","FALSE","04070","FALSE","","Київ / Україна","","Інше","other","","2","[Конфіденційна інформація]",9.7,"0","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1477641965116","1","","FALSE","","1","1477641965116",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Артюшенко Ігор Андрійович","Верховна Рада України","Народний депутат України","nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Артюшенко","FALSE","Андрійович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","Ігор","","1","","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","","FALSE","","Київ / Україна","","Квартира","apt","",NA,"[Конфіденційна інформація]",51.25,"1","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1520257825568","1","","TRUE","","1","1520257825568",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"Артюшенко Ігор Андрійович",NA
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Балога","FALSE","Іванович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Іван","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","FALSE","FALSE","89600","FALSE","","Мукачеве / Закарпатська область / Україна","","Житловий будинок","house","",NA,"[Конфіденційна інформація]",661.3,"1","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1490939084232","1","","TRUE","","1","1490939084232",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Іван Іванович",NA
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Балога","FALSE","Іванович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Іван","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","FALSE","FALSE","89600","FALSE","","Мукачеве / Закарпатська область / Україна","","Житловий будинок","house","",NA,"[Конфіденційна інформація]",661.3,"1","TRUE","1477381027987","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1490939300392","1","","TRUE","","1","1490939300392",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Лілія Володимирівна","дружина"
