"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","addition_middlename","ua_postCode_extendedstatus","addition_ua_fullName","eng_regNumber","postCode","addition_eng_company_name","addition_lastname","otherObjectType","addition_ua_company_name","ua_street","unfinishConstruct","belongsSubjectOfDeclaration","ua_postCode","isThirdOwner","addition_eng_company_code","ua_cityType","addition_ua_company_address","objectType","dnt_objectType_encoded","thirdOwner_citizen","cadNumber_extendedstatus","district","totalArea","regNumber_extendedstatus","builtMaterialsOrFunds","person","actualAddressEqualRegAddress","dnt_totalArea_hidden","cityPath","city","addition_eng_fullName","ua_streetType","region","addition_company_name","dontRegistered","addition_company_code","ua_city_full","iteration","ua_housePartNum_extendedstatus","addition_eng_company_address","exploitation","addition_firstname","country","object_id","addition_regAddress_extendedstatus","city_extendedstatus","ua_apartmentsNum_extendedstatus","flag_thirdOwner","totalArea_extendedstatus","ua_houseNum_extendedstatus","ownershipType","otherOwnership","percent.ownership","addition_birthday_extendedstatus","addition_actualAddress_extendedstatus","ua_streetType_extendedstatus","region_extendedstatus","ua_street_extendedstatus","district_extendedstatus","ua_region","ua_area","eng_regNumber_extendedstatus","declarant","subjectRelation"
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Балога","FALSE","Іванович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Іван","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","FALSE","FALSE","89600","FALSE","","Мукачеве / Закарпатська область / Україна","","Житловий будинок","house","",NA,"[Конфіденційна інформація]",661.3,"1","TRUE","1477381027987","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1490939213808","1","","TRUE","","1","1490939213808",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Лілія Володимирівна","дружина"
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Балога","FALSE","Іванович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","Іван","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","FALSE","FALSE","89600","FALSE","","Мукачеве / Закарпатська область / Україна","","Житловий будинок","house","",NA,"[Конфіденційна інформація]",661.3,"1","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1490938831200","1","","TRUE","","1","1490938831200",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Балога Іван Іванович",NA
"Барвіненко Віталій Дмитрович","Верховна Рада України","Народний депутат України","nacp_96954375-7076-4095-af09-4e0b9d2eac8e","Барвіненко","FALSE","Дмитрович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_96954375-7076-4095-af09-4e0b9d2eac8e","Віталій","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","03039","FALSE","","Київ / Україна","","Квартира","apt","","1","[Конфіденційна інформація]",104.24,"1","TRUE","1522059574053","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1522060789597","1","","FALSE","","1","1522060789597",NA,NA,NA,"1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Барвіненко Віра Андріївна","дружина"
"Батенко Тарас Іванович","Верховна Рада України","народний депутат","nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Батенко","FALSE","Іванович",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","Тарас","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","81156","FALSE","","Звенигород / Пустомитівський район / Львівська область / Україна","","Садовий (дачний) будинок","dacha","","0","[Конфіденційна інформація]",129,"2","FALSE","1477306658509","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1477489527941","1","","FALSE","","1","1477489527941",NA,"1","1","1","0","1","Власність","",NA,NA,NA,"1","0","1","0",NA,NA,NA,"Батенко Катерина Миколаївна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Береза","TRUE","Миколайович",2018-04-06,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Юрій","",NA,"","","[Конфіденційна інформація]","","","ангар","","[Конфіденційна інформація]","TRUE","FALSE","52173","FALSE","","Саксагань / П'ятихатський район / Дніпропетровська область / Україна","","Інше","other","",NA,"[Конфіденційна інформація]",432,"1","TRUE","1477581548250","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1477642431579","1","","TRUE","","1","1477642431579",NA,NA,"1","1",NA,"1","Власність","",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Береза","TRUE","Миколайович",2018-04-06,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Юрій","",NA,"","","[Конфіденційна інформація]","","","конюшня","","[Конфіденційна інформація]","TRUE","FALSE","52173","FALSE","","Саксагань / П'ятихатський район / Дніпропетровська область / Україна","","Інше","other","",NA,"[Конфіденційна інформація]",700,"1","TRUE","1477581548250","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1477643261871","1","","TRUE","","1","1477643261871",NA,NA,"1","1",NA,"1","Власність","",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"Береза Тетяна Іванівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","",NA,"","","[Конфіденційна інформація]","","","Господарські приміщення","","[Конфіденційна інформація]","FALSE","FALSE","25005","FALSE","","Кропивницький / Кіровоградська область / Україна","","Інше","other","","1","[Конфіденційна інформація]",20,"1","TRUE","1476878331811","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1477584364825","1","","TRUE","","1","1477584364825",NA,"1","1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","",NA,"","","[Конфіденційна інформація]","","","господарське приміщення","","[Конфіденційна інформація]","FALSE","FALSE","25005","FALSE","","Кропивницький / Кіровоградська область / Україна","","Інше","other","","1","[Конфіденційна інформація]",50,"1","TRUE","1476878331811","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1477584116621","1","","TRUE","","1","1477584116621",NA,"1","1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","",NA,"","","[Конфіденційна інформація]","","","спортивний комплекс","","[Конфіденційна інформація]","FALSE","FALSE","25005","FALSE","","Кропивницький / Кіровоградська область / Україна","","Інше","other","","1","[Конфіденційна інформація]",82.8,"1","TRUE","1476878331811","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1478172544861","1","","TRUE","","1","1478172544861",NA,"1","1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","FALSE","FALSE","25005","FALSE","","Кропивницький / Кіровоградська область / Україна","","Гараж","garage","","1","[Конфіденційна інформація]",10.6,"1","TRUE","1476878331811","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1478172085062","1","","TRUE","","1","1478172085062",NA,"1","1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","",NA,"","","[Конфіденційна інформація]","","","Плавальний басейн","","[Конфіденційна інформація]","FALSE","FALSE","25005","FALSE","","Кропивницький / Кіровоградська область / Україна","","Інше","other","","1","[Конфіденційна інформація]",76.2,"1","TRUE","1476878331811","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1478172386490","1","","TRUE","","1","1478172386490",NA,"1","1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Березкін","FALSE","Семенович",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854","Станіслав","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","25005","FALSE","","Кропивницький / Кіровоградська область / Україна","","Гараж","garage","","1","[Конфіденційна інформація]",81.6,"2","TRUE","1476878331811","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1477583853011","1","","FALSE","","1","1477583853011",NA,"1","1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Березкіна Ірина Олександрівна","дружина"
"Бойко Юрій Анатолійович","Верховна Рада України","Народний депутат України","nacp_4fb806f6-e0bc-446b-aee5-48441786d809","Бойко","TRUE","Анатолійович",2018-04-04,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_4fb806f6-e0bc-446b-aee5-48441786d809","Юрій","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","08340","FALSE","","Гнідин / Бориспільський район / Київська область / Україна","","Житловий будинок","house","","2","[Конфіденційна інформація]",0,"2","TRUE","1477607881861","","TRUE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1477614984270","1","","FALSE","","1","1477614984270",NA,NA,"1","1","2","1","Власність","",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,"Бойко Віра Дмитріївна","дружина"
"Бригинець Олександр Михайлович","Верховна Рада України","Народний депутат України","nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Бригинець","FALSE","Михайлович",2018-03-20,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Олександр","",NA,"","","[Конфіденційна інформація]","","","сарай","","[Конфіденційна інформація]","TRUE","FALSE","07413","FALSE","","Пухівка / Броварський район / Київська область / Україна","","Інше","other","",NA,"[Конфіденційна інформація]",50,"1","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1521480274793","1","","FALSE","","1","1521480274793",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бригинець Олександр Михайлович",NA
"Бригинець Олександр Михайлович","Верховна Рада України","Народний депутат України","nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Бригинець","FALSE","Михайлович",2018-03-20,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","Олександр","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","TRUE","07413","FALSE","","Пухівка / Броварський Район / Київська Область / Україна","","Садовий (дачний) будинок","dacha","",NA,"[Конфіденційна інформація]",60,"1","FALSE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1477415905435","1","","FALSE","","1","1477415905435",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бригинець Олександр Михайлович",NA
"Бублик Юрій Васильович","Верховна Рада України","Народний депутат України","nacp_498bef86-95ba-46b8-a67d-2b0d889ccf71","Бублик","FALSE","Васильович",2018-03-24,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_498bef86-95ba-46b8-a67d-2b0d889ccf71","Юрій","",NA,"","","[Конфіденційна інформація]","","","","","[Конфіденційна інформація]","TRUE","FALSE","38702","FALSE","","Залізничне / Полтавський район / Полтавська область / Україна","","Житловий будинок","house","","1","[Конфіденційна інформація]",296,"2","TRUE","1","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","FALSE","","","1477767828781","1","","FALSE","","1","1477767828781",NA,NA,"1","1",NA,"0","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бублик Юрій Васильович",NA
"Бурбак Максим Юрійович","Верховна Рада України","народний депутат України","nacp_db27e533-97f7-4d8f-8d81-4244491ba74a","Бурбак","FALSE","Юрійович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db27e533-97f7-4d8f-8d81-4244491ba74a","Максим","",NA,"","","[Конфіденційна інформація]","","","Комерційна нерухомість","","[Конфіденційна інформація]","TRUE","TRUE","59209","FALSE","","Виженка / Вижницький район / Чернівецька область / Україна","","Інше","other","",NA,"[Конфіденційна інформація]",400,"1","FALSE","1475761483850","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1489565898813","1","","TRUE","","1","1489565898813",NA,"0","1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бурбак Тетяна Володимирівна","дружина"
"Бурбак Максим Юрійович","Верховна Рада України","народний депутат України","nacp_db27e533-97f7-4d8f-8d81-4244491ba74a","Бурбак","FALSE","Юрійович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db27e533-97f7-4d8f-8d81-4244491ba74a","Максим","",NA,"","","[Конфіденційна інформація]","","","Комерційна нерухомість","","[Конфіденційна інформація]","TRUE","TRUE","59209","FALSE","","Виженка / Вижницький район / Чернівецька область / Україна","","Інше","other","",NA,"[Конфіденційна інформація]",334,"1","FALSE","1475761483850","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1489566742482","1","","TRUE","","1","1489566742482",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бурбак Тетяна Володимирівна","дружина"
"Бурбак Максим Юрійович","Верховна Рада України","народний депутат України","nacp_db27e533-97f7-4d8f-8d81-4244491ba74a","Бурбак","FALSE","Юрійович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db27e533-97f7-4d8f-8d81-4244491ba74a","Максим","",NA,"","","[Конфіденційна інформація]","","","Комерційна нерухомість","","[Конфіденційна інформація]","TRUE","TRUE","59209","FALSE","","Виженка / Вижницький район / Чернівецька область / Україна","","Інше","other","",NA,"[Конфіденційна інформація]",115.54,"1","FALSE","1475761483850","","FALSE","[Конфіденційна інформація]","[Конфіденційна інформація]","","[Конфіденційна інформація]","[Конфіденційна інформація]","","TRUE","","","1489566519202","1","","TRUE","","1","1489566519202",NA,NA,"1","1",NA,NA,"Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Бурбак Тетяна Володимирівна","дружина"
