"fullname","office","position","id","is_corrected","created_date","document_type","source","url"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","FALSE","2018-03-19T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c"
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","FALSE","2018-03-16T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","FALSE","2018-03-11T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71"
"Амельченко Василь Васильович","Верховна Рада України, Комітет з питань бюджету","народний депутат України, перший заступник голови Комітету з питань бюджету ВРУ","nacp_3ab4d804-28b1-4301-bd3a-16ca01c537fc","FALSE","2018-03-29T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3ab4d804-28b1-4301-bd3a-16ca01c537fc"
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","FALSE","2018-03-12T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59"
"Антонищак Андрій Федорович","Верховна Рада України","народний депутат України","nacp_c21a1cac-9b92-4348-9322-d870e539b092","FALSE","2018-03-26T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c21a1cac-9b92-4348-9322-d870e539b092"
"Ар'єв Володимир Ігорович","Верховна Рада України","народний депутат України","nacp_23200a41-d9c1-44a6-a6c0-963701838d03","FALSE","2018-03-26T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23200a41-d9c1-44a6-a6c0-963701838d03"
"Арешонков Володимир Юрійович","Верховна Рада України","Народний депутат України","nacp_768dd957-8066-4215-8143-4d852f28baaa","FALSE","2018-03-21T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_768dd957-8066-4215-8143-4d852f28baaa"
"Артюшенко Ігор Андрійович","Верховна Рада України","Народний депутат України","nacp_24d6e46e-838b-4c2e-b5c1-69831327250d","FALSE","2018-03-23T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_24d6e46e-838b-4c2e-b5c1-69831327250d"
"Бабак Альона Валеріївна","Верховна Рада України","народний депутат України","nacp_cc42ddfc-bf48-4185-bd45-0d08cc6e88e5","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_cc42ddfc-bf48-4185-bd45-0d08cc6e88e5"
"Бабенко Валерій Борисович","Верховна Рада України","народний депутат України","nacp_be16264d-f1b0-41c8-8ab0-66e3fa327537","FALSE","2018-03-02T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_be16264d-f1b0-41c8-8ab0-66e3fa327537"
"Бабій Юрій Юрійович","Верховна Рада України","Нароний депутут України","nacp_9c2436f1-7d69-4b83-acf9-37dd9baa6d45","FALSE","2018-03-19T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9c2436f1-7d69-4b83-acf9-37dd9baa6d45"
"Бакулін Євген Миколайович","Верховна Рада України","Народний депутат України","nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92","FALSE","2018-03-24T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_928c9e2e-17f5-41b3-a44a-fa01ac29cb92"
"Бакуменко Олександр Борисович","Верховна Рада України","Народний депутат України","nacp_bfd6afbb-b028-4ced-93c7-7cd1892ed4ad","FALSE","2018-02-15T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_bfd6afbb-b028-4ced-93c7-7cd1892ed4ad"
"Балицький Євген Віталійович","Верховна Рада України","Народний депутат України","nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425","FALSE","2018-03-16T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6f0638d4-b59a-42b0-8f43-cd9bd1d03425"
"Балога Віктор Іванович","Верховна Рада України","народний депутат України","nacp_b7368fa6-b008-4773-8f32-f3691cf6fce8","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_b7368fa6-b008-4773-8f32-f3691cf6fce8"
"Балога Іван Іванович","Верховна Рада України","Народний депутат України","nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0","FALSE","2018-03-23T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0"
"Балога Павло Іванович","Верховна Рада України","народний депутат України","nacp_1c171241-a7fd-4e13-b2a3-ae7cd797baa7","FALSE","2018-03-13T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_1c171241-a7fd-4e13-b2a3-ae7cd797baa7"
"Бандуров Володимир Володимирович","Верховна рада України","народний депутат","nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1df4aa7-0462-478d-8cd3-92061d82b3bd"
"Барвіненко Віталій Дмитрович","Верховна Рада України","Народний депутат України","nacp_96954375-7076-4095-af09-4e0b9d2eac8e","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_96954375-7076-4095-af09-4e0b9d2eac8e"
"Барна Олег Степанович","Верховна Рада України","Народний депутат України","nacp_239b6c97-e578-4dcc-9865-f0f30eb88506","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_239b6c97-e578-4dcc-9865-f0f30eb88506"
"Батенко Тарас Іванович","Верховна Рада України","народний депутат","nacp_ec54bf49-54dd-4797-8721-8f377a0166e2","FALSE","2018-03-16T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ec54bf49-54dd-4797-8721-8f377a0166e2"
"Бахтеєва Тетяна Дмитрівна","Верховна Рада України","народний депутат України, 8 скликання","nacp_38e2fd57-e7f9-4794-a3f8-a40167b24bc6","FALSE","2018-03-15T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_38e2fd57-e7f9-4794-a3f8-a40167b24bc6"
"Безбах Яків Якович","Верховна Рада України","Народний депутат України","nacp_3e19ea01-0769-4cf3-9191-256046f6862b","FALSE","2018-03-06T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3e19ea01-0769-4cf3-9191-256046f6862b"
"Бендюженко Федір Володимирович","Верховна Рада України","Народний депутат України","nacp_5297f00b-fca3-4a3c-9699-e3ccc6d5a5ab","TRUE","2018-03-22T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5297f00b-fca3-4a3c-9699-e3ccc6d5a5ab"
"Береза Борислав Юхимович","Верховна Рада України","Народний депутат УКраїни","nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ee890f80-9b6a-40f0-93f5-c1bb06907493"
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","TRUE","2018-04-06T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a"
"Березенко Сергій Іванович","Верховна Рада України","Народний депутат України","nacp_d05514f5-8723-46d6-af67-eb590348efde","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d05514f5-8723-46d6-af67-eb590348efde"
"Березкін Станіслав Семенович","Верховна Рада України","Народний депутат України","nacp_c376b837-73a0-42c4-8ac8-db04b5905854","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c376b837-73a0-42c4-8ac8-db04b5905854"
"Березюк Олег Романович","Верховна Рада України","Народний депутат України","nacp_dff31b40-ce62-46c6-849e-92e81692510a","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dff31b40-ce62-46c6-849e-92e81692510a"
"Бєлькова Ольга Валентинівна","Верховна Рада України ","народний депутат України ","nacp_8aa92273-c805-4b6a-af9c-4e6f612d41a7","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_8aa92273-c805-4b6a-af9c-4e6f612d41a7"
"Білецький Андрій Євгенійович","Верховна рада України","Народний депутат України","nacp_a9d388db-f391-4c5c-a15c-a425e95d3c00","FALSE","2018-02-23T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a9d388db-f391-4c5c-a15c-a425e95d3c00"
"Білий Олексій Петрович","Верховна Рада України","народний депутат","nacp_da52b364-3c6a-4892-b095-1492b8eca311","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_da52b364-3c6a-4892-b095-1492b8eca311"
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","FALSE","2018-03-25T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468"
"Білозір Оксана Володимирівна","Верховна Рада України ","Народний депутат України","nacp_9e148122-427b-43ba-a3c3-cfc313dba098","TRUE","2018-04-07T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9e148122-427b-43ba-a3c3-cfc313dba098"
"Білоцерковець Дмитро Олександрович","Верховна Рада України","Народний депутат України","nacp_9906920a-57ea-4efc-ab3f-fdfce66a46c2","FALSE","2018-03-29T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9906920a-57ea-4efc-ab3f-fdfce66a46c2"
"Бобов Геннадій Борисович","Верховна Рада України","Народний депутат України","nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70","FALSE","2018-03-28T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fbc29171-f8c9-4918-ac85-cdf13c2d9e70"
"Богдан Руслан Дмитрович","Верховна Рада України","народний депутат","nacp_9d69a152-4cfc-4feb-886d-469a3da65746","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9d69a152-4cfc-4feb-886d-469a3da65746"
