"fullname","office","position","id","is_corrected","created_date","document_type","source","url"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","FALSE","2018-03-23T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52"
"Богуслаєв Вячеслав Олександрович","Верховна Рада України","Народний депутат України, Член Комітету Верховної Ради України з питань національної безпеки і оборони","nacp_f157958b-b412-4159-99de-2d28d35b23c3","FALSE","2018-03-26T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f157958b-b412-4159-99de-2d28d35b23c3"
"Бойко Олена Петрівна","Верховна Рада України","Народний депутат України","nacp_df257c6d-6932-4c93-98c1-d7c25efba992","TRUE","2018-02-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_df257c6d-6932-4c93-98c1-d7c25efba992"
"Бойко Юрій Анатолійович","Верховна Рада України","Народний депутат України","nacp_4fb806f6-e0bc-446b-aee5-48441786d809","TRUE","2018-04-04T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_4fb806f6-e0bc-446b-aee5-48441786d809"
"Бондар Віктор Васильович","Верховна Рада України","Народний депутат України","nacp_1681f425-a4ea-4477-ab3c-f24edc089d89","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_1681f425-a4ea-4477-ab3c-f24edc089d89"
"Бондар Михайло Леонтійович","Верховна Рада України","Народний депутат України","nacp_c61fc62b-0627-4b86-9b2b-366063762e1d","FALSE","2018-01-17T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c61fc62b-0627-4b86-9b2b-366063762e1d"
"Брензович Василь Іванович","Верховна Рада України","Народний депутат України","nacp_bf5940db-7914-4f9a-9279-f251e1ef48c0","FALSE","2018-03-16T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_bf5940db-7914-4f9a-9279-f251e1ef48c0"
"Бригинець Олександр Михайлович","Верховна Рада України","Народний депутат України","nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca","FALSE","2018-03-20T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_e315cc07-a3c8-4e3a-bd2a-eece147366ca"
"Бриченко Ігор Віталійович","Верховна Рада України","народний депутат України","nacp_4e4041a8-e6e6-4abf-9d1f-d6ce5f469b97","TRUE","2018-04-05T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_4e4041a8-e6e6-4abf-9d1f-d6ce5f469b97"
"Бублик Юрій Васильович","Верховна Рада України","Народний депутат України","nacp_498bef86-95ba-46b8-a67d-2b0d889ccf71","FALSE","2018-03-24T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_498bef86-95ba-46b8-a67d-2b0d889ccf71"
"Буглак Юрій Олександрович","Верховна Рада України","Народний депутат України","nacp_3dbecd44-1a85-4d43-9699-3d5d4c9d76b0","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3dbecd44-1a85-4d43-9699-3d5d4c9d76b0"
"Бурбак Максим Юрійович","Верховна Рада України","народний депутат України","nacp_db27e533-97f7-4d8f-8d81-4244491ba74a","FALSE","2018-03-23T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db27e533-97f7-4d8f-8d81-4244491ba74a"
"Бухарєв Владислав Вікторович","Верховна Рада України","Народний депутат України","nacp_4742dea0-2111-4cb9-8934-d83c8c079e5e","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_4742dea0-2111-4cb9-8934-d83c8c079e5e"
"Вадатурський Андрій Олексійович","Верховна Рада України","Народний депутат України","nacp_05294b77-7e10-4fe1-bc6d-bcf602d934f5","FALSE","2018-01-18T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_05294b77-7e10-4fe1-bc6d-bcf602d934f5"
"Валентиров Сергій Васильович","Верховна Рада України","Народний депутат України","nacp_867c6595-7262-4b74-a6c1-f428c5033e04","TRUE","2018-04-04T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_867c6595-7262-4b74-a6c1-f428c5033e04"
"Васюник Ігор Васильович","Верховна Рада України","народний депутат України, перший заступник Голови комітету з питань транспорту","nacp_3c01aced-ad80-4075-b3c0-02de2944d919","FALSE","2018-01-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3c01aced-ad80-4075-b3c0-02de2944d919"
"Величкович Микола Романович","Верховна Рада України","Народний депутат України","nacp_23381fe7-eeb2-4df0-84d1-a13abd2c4fc8","FALSE","2018-02-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23381fe7-eeb2-4df0-84d1-a13abd2c4fc8"
"Велікін Олег Маркович","Верховна Рада України","Народний депутат України","nacp_5b7b3da1-ac43-477b-9729-8ee72fe17f53","FALSE","2018-03-28T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5b7b3da1-ac43-477b-9729-8ee72fe17f53"
"Веселова Наталія Василівна","Верховна рада Україна","Народний депутат України","nacp_063ed766-27eb-4622-aa28-7bb769b672ec","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_063ed766-27eb-4622-aa28-7bb769b672ec"
"Висоцький Сергій Віталійович","Верховна Рада України","Народний депутат України","nacp_390b7a38-6101-4bfe-97be-67c47d4af626","FALSE","2018-03-26T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_390b7a38-6101-4bfe-97be-67c47d4af626"
"Вілкул Олександр Юрійович","Верховна Рада України","Народний депутат України","nacp_d34e8f46-e207-471c-aa58-47b5c8a356f4","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d34e8f46-e207-471c-aa58-47b5c8a356f4"
"Вінник Іван Юлійович","Верховна Рада України","народний депутат України, секретар Комітету Верховної Ради України з питань національної безпеки і оборони","nacp_ef58d8de-ed1f-403f-8341-ec35de8db494","FALSE","2018-03-24T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ef58d8de-ed1f-403f-8341-ec35de8db494"
"Вітко Артем Леонідович","Управління справами Апарату Верховна Рада України","народний депутат України","nacp_fa917250-bdcd-4123-b19d-2d1e222ce0a2","TRUE","2018-04-02T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_fa917250-bdcd-4123-b19d-2d1e222ce0a2"
"Власенко Сергій Володимирович","Верховна Рада України","Народний депутат України","nacp_95fd50fd-cee7-49cb-8a6c-654ffe0b0458","FALSE","2018-03-16T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_95fd50fd-cee7-49cb-8a6c-654ffe0b0458"
"Вовк Віктор Іванович","Верховна Рада України","Народний депутат України, заступник голови Комітету у закордонних справах","nacp_f1b2bb6e-0767-4e81-8e6d-de313230535d","FALSE","2018-03-06T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f1b2bb6e-0767-4e81-8e6d-de313230535d"
"Вознюк Юрій Володимирович","Верховна Рада України","Народний депутат України","nacp_ff59c1bd-97c3-4ec0-ab9e-58d0254fca72","FALSE","2018-03-26T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ff59c1bd-97c3-4ec0-ab9e-58d0254fca72"
"Войцеховська Світлана Михайлівна","Верховна Рада України","Народний депутат України","nacp_a29bf4d3-496b-41eb-b5ca-262e6c02da3c","FALSE","2018-03-24T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a29bf4d3-496b-41eb-b5ca-262e6c02da3c"
"Войціцька Вікторія Михайлівна","Верховна Рада України","народний депутат","nacp_bfc4f2e8-5aa7-48fc-af15-209758150dba","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_bfc4f2e8-5aa7-48fc-af15-209758150dba"
"Воропаєв Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_f4c45a2a-d38c-4460-9715-eda02cb38657","TRUE","2018-03-28T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f4c45a2a-d38c-4460-9715-eda02cb38657"
"Гаврилюк Михайло Віталійович","Верховна Рада України","народний депутат України","nacp_9def314c-7afb-4e79-a75b-1de28c802f8d","FALSE","2018-03-16T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9def314c-7afb-4e79-a75b-1de28c802f8d"
"Галасюк Віктор Валерійович","Верховна Рада України ","Народний депутат України, Голова Комітету Верховної Ради України з питань промислової політики та підприємництва","nacp_c1fc262c-c038-44c7-8e98-6117cef6cf27","FALSE","2018-02-02T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c1fc262c-c038-44c7-8e98-6117cef6cf27"
"Гальченко Андрій Володимирович","Верховна Рада України","Народний депутат України","nacp_79b4acf9-9735-4942-89d1-dddbc8ce1551","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_79b4acf9-9735-4942-89d1-dddbc8ce1551"
"Герасимов Артур Володимирович","Верховна Рада України","Народний депутат України","nacp_c27fce5f-f137-4e3e-a754-990397edd1aa","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c27fce5f-f137-4e3e-a754-990397edd1aa"
"Геращенко Антон Юрійович","Верховна Рада України","Народний депутат України","nacp_adc72777-66fc-44a6-8ea0-7f6ec28d9632","FALSE","2018-03-29T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_adc72777-66fc-44a6-8ea0-7f6ec28d9632"
"Геращенко Ірина Володимирівна","Верховна Рада Украіни","Народний депутат Украіни, Перший заступник Голови Верховноі Ради Украіни","nacp_82c792c2-fbfe-4644-bac0-f7202b040d6c","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_82c792c2-fbfe-4644-bac0-f7202b040d6c"
"Герега Олександр Володимирович","Верховна Рада України","Народний депутат Верховної Ради України","nacp_f16606de-a4fc-4569-a924-0e5438985d61","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_f16606de-a4fc-4569-a924-0e5438985d61"
"Гєллєр Євгеній Борисович","Верховна Рада України","народний депутат України, член Комітету Верховної Ради України з питань бюджету","nacp_86753059-8106-4aa5-8e50-6bfdc35c41d1","FALSE","2018-02-28T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_86753059-8106-4aa5-8e50-6bfdc35c41d1"
"Гіршфельд Анатолій Мусійович","Верховна Рада України","Народний депутат України","nacp_6b61dc22-c7d4-4766-aa65-fb0ea7ba458f","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_6b61dc22-c7d4-4766-aa65-fb0ea7ba458f"
"Головко Михайло Йосифович","Верховна Рада України","Народний депутат України","nacp_22331d1b-30ca-4f28-bc9b-e9cbc0441f0e","FALSE","2018-03-20T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_22331d1b-30ca-4f28-bc9b-e9cbc0441f0e"
"Голуб Владислав Володимирович","Верховна Рада України","народний депутат України","nacp_432e7d10-13fd-4556-96a7-533af7f21849","FALSE","2018-03-19T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_432e7d10-13fd-4556-96a7-533af7f21849"
"Голубов Дмитро Іванович","Верховна Рада України","Народний депутат України","nacp_7fba02ab-3f00-484c-aa24-f4a2cf59fc73","FALSE","2018-03-12T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_7fba02ab-3f00-484c-aa24-f4a2cf59fc73"
"Гончаренко Олексій Олексійович","Верховна Рада України","народний депутат України","nacp_ff892e6f-4589-40fb-ab70-8aa9cbc32ebb","FALSE","2018-03-21T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ff892e6f-4589-40fb-ab70-8aa9cbc32ebb"
"Гопко Ганна Миколаївна","Верховна Рада України","Народний депутат України, Голова Комітету Верховної Ради України у закордонних справах","nacp_d00c0021-eda5-4290-8fe0-da9a585be6eb","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_d00c0021-eda5-4290-8fe0-da9a585be6eb"
"Горбунов Олександр Володимирович","Верховна Рада України ","Народний депутат України","nacp_c401447f-8e68-4770-b35a-6803793ccfa0","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c401447f-8e68-4770-b35a-6803793ccfa0"
"Горват Роберт Іванович","Верховна Рада України","народний депутат України","nacp_eff01aac-99be-4397-9899-05b91a3e0b6b","FALSE","2018-03-29T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_eff01aac-99be-4397-9899-05b91a3e0b6b"
"Грановський Олександр Михайлович","Верховна Рада України","Народний депутат України","nacp_151f85ac-4189-4d68-a34b-820f2be66cb8","TRUE","2018-04-02T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_151f85ac-4189-4d68-a34b-820f2be66cb8"
"Гринів Ігор Олексійович","Верховна Рада України","Народний депутат України","nacp_8b33df36-86f8-4908-84ed-ffb60445a563","FALSE","2018-03-29T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_8b33df36-86f8-4908-84ed-ffb60445a563"
"Гудзенко Віталій Іванович","Управління справами Апарату Верховної Ради України","Народний депутат України","nacp_76f51f67-97fb-4c77-8e19-081989902ace","FALSE","2018-03-20T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_76f51f67-97fb-4c77-8e19-081989902ace"
"Гузь Ігор Володимирович","Верховна Рада України","Народний депутат України","nacp_a909d251-109a-4e58-97f0-07d5963f267c","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a909d251-109a-4e58-97f0-07d5963f267c"
"Гуляєв Василь Олександрович","Верховна Рада України","Народний депутат України","nacp_7446dd13-a6c0-40b2-8d80-396b5fbd5b7f","FALSE","2018-03-27T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_7446dd13-a6c0-40b2-8d80-396b5fbd5b7f"
"Гусак Володимир Георгійович","Верховна Рада України","Народний депутат України","nacp_9408ac0c-e6aa-4d97-a950-ba04ab320149","TRUE","2018-04-06T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9408ac0c-e6aa-4d97-a950-ba04ab320149"
"Давиденко Валерій Миколайович","Верховна Рада України","Народний депутат України","nacp_9932ffe2-02f3-4247-8ee2-6367fbaa1e01","FALSE","2018-03-30T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9932ffe2-02f3-4247-8ee2-6367fbaa1e01"
"Данілін Владислав Юрійович","Верховна Рада України","Народний депутат України","nacp_12692f67-d1df-4a8d-82b9-b35576567fbf","FALSE","2018-03-23T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_12692f67-d1df-4a8d-82b9-b35576567fbf"
"Данченко Олександр Іванович","Верховна Рада України","Народний депутат України, Голова комітету з питать інформатизації та звязку","nacp_ef607163-44b0-4c5e-a040-ff1448510f65","TRUE","2018-03-29T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ef607163-44b0-4c5e-a040-ff1448510f65"
"Дейдей Євген Сергійович","Верховна Рада України","Народний депутат України","nacp_3e574639-5a9e-4a9d-826e-d8bf96668d73","FALSE","2018-03-31T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3e574639-5a9e-4a9d-826e-d8bf96668d73"
"Демчак Руслан Євгенійович","Верховна Рада України","Заступник голови Комітету Верховної Ради України з питань фінансової політики і банківської діяльності.","nacp_1fe1b3e7-3f6a-4f66-a788-36cd5d18913b","TRUE","2018-04-06T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_1fe1b3e7-3f6a-4f66-a788-36cd5d18913b"
"Денисенко Анатолій Петрович","Верховна Рада України","Народний депутат, Голова підкомітету з питань приватизації державного і комунального майна, націоналізації, реприватизації, банкрутства, застави, лізингу, концесії, оренди, розподілу продукції, управління майном, що перебуває у державній та комунальній власності Комітету Верховної Ради України з питань економічної політики","nacp_c84b8969-06b2-4a06-a1d0-9148be9b370e","FALSE","2018-02-21T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c84b8969-06b2-4a06-a1d0-9148be9b370e"
"Денисенко Андрій Сергійович","Верховна Рада України","народний депутат України","nacp_a0930997-1558-4593-9f1f-e8f60ae20747","FALSE","2018-03-28T00:00:00","Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a0930997-1558-4593-9f1f-e8f60ae20747"
