"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","dnt_is_foreign","dnt_objectType_encoded","source_eng_company_address","source_ua_sameRegLivingAddress","source_eng_company_name","source_ukr_fullname","source_eng_company_code","person","source_ukr_company_name","dnt_sizeIncome_hidden","incomeSource","otherObjectType","source_eng_fullname","source_ua_company_code","source_ua_company_name","source_ua_lastname","iteration","source_ua_firstname","source_citizen","sizeIncome","source_ukr_company_address","source_ua_middlename","objectType","object_id","ownershipType","otherOwnership","percent.ownership","source_ua_company_code_extendedstatus","source_ua_actualAddress_extendedstatus","source_ua_taxNumber_extendedstatus","source_ua_birthday_extendedstatus","incomeSource_extendedstatus","source_citizen_extendedstatus","source_ua_regAddress_extendedstatus","sizeIncome_extendedstatus","source_eng_company_code_extendedstatus","source_eng_company_address_extendedstatus","source_ukr_company_address_extendedstatus","source_ua_middlename_extendedstatus","source_ua_lastname_extendedstatus","source_ua_firstname_extendedstatus","otherObjectType_extendedstatus","source_ua_company_name_extendedstatus","objectType_extendedstatus","source_eng_birthday_extendedstatus","source_eng_regAddress_extendedstatus","source_eng_fullname_extendedstatus","source_eng_taxNumber_extendedstatus","source_ukr_regAddress_extendedstatus","declarant","subjectRelation"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","other","","","","","","1","","FALSE","j","кошти на виконання депутатських повноважень","","20064120","Управління справами Апарату Верховної Ради України","","1477566312675","","Юридична особа, зареєстрована в Україні",252825,"","","Інше","1477566312675","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","interest","","","","","","1476705147748","","FALSE","j","","","00032129","ПАТ ""Державний Ощадний банк України""","","1477566791500","","Юридична особа, зареєстрована в Україні",340214,"","","Проценти","1477566791500","Власність","",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE","salarymain","","","","","","1","","FALSE","j","","","20064120","Управління справами Апарату Верховної Ради України","","1477566199729","","Юридична особа, зареєстрована в Україні",259322,"","","Заробітна плата отримана за основним місцем роботи","1477566199729","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","FALSE","salarymain","","","","","","1","","FALSE","j","","","200064120","Управління справами Верховної Ради України","","1477501865569","","Юридична особа, зареєстрована в Україні",249543,"","","Заробітна плата отримана за основним місцем роботи","1477501865569","Власність","",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","FALSE","other","","FALSE","","","","1","","FALSE","j","аліменти","","","","Сторчак","1520358506760","Владислав","Громадянин України",63100,"","Володимирович","Інше","1520358506760",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","FALSE","other","","FALSE","","","","1","","FALSE","j","","","","","Соловйов","1520357440870","Олександр","Громадянин України",180000,"","Михайлович","Дохід від відчуження рухомого майна ( крім цінних паперів та корпоративних прав)","1520357440870","Власність","",NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","FALSE","salarysecond","","","","","","1","","FALSE","j","","","02070944","Київський Національний університет імені Тараса Шевченка","","1521213735008","","Юридична особа, зареєстрована в Україні",8233,"","","Заробітна плата отримана за сумісництвом","1521213735008","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","contractfee","","","","","","1476743018040","","FALSE","j","","","04590234","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ШЛЯХОВО-ЕКСПЛУАТАЦІЙНЕ УПРАВЛІННЯ ПО РЕМОНТУ ТА УТРИМАННЮ АВТОМОБІЛЬНИХ ШЛЯХІВ ТА СПОРУД НА НИХ ДЕСНЯНСЬКОГО РАЙОНУ"" М.КИЄВА","","1477248753382","","Юридична особа, зареєстрована в Україні",90000,"","","Гонорари та інші виплати згідно з цивільно-правовим правочинами","1477248753382","Власність","",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","other","","","","","","1476743018040","","FALSE","j","Додаткове благо - добровільне медичне страхування","","35372210","ТОВ ""МАЙНДШЕР""","","1477253986775","","Юридична особа, зареєстрована в Україні",6312,"","","Інше","1477253986775","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","other","","","","","","1476743018040","","FALSE","j","Соціальні виплати","","22886300","КИЇВСЬКИЙ МІСЬКИЙ ЦЕНТР ПО НАРАХУВАННЮ ТА ЗДІЙСНЕННЮ СОЦІАЛЬНИХ ВИПЛАТ","","1477377143144","","Юридична особа, зареєстрована в Україні",10320,"","","Інше","1477377143144","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
