"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","dnt_is_foreign","dnt_objectType_encoded","source_eng_company_address","source_ua_sameRegLivingAddress","source_eng_company_name","source_ukr_fullname","source_eng_company_code","person","source_ukr_company_name","dnt_sizeIncome_hidden","incomeSource","otherObjectType","source_eng_fullname","source_ua_company_code","source_ua_company_name","source_ua_lastname","iteration","source_ua_firstname","source_citizen","sizeIncome","source_ukr_company_address","source_ua_middlename","objectType","object_id","ownershipType","otherOwnership","percent.ownership","source_ua_company_code_extendedstatus","source_ua_actualAddress_extendedstatus","source_ua_taxNumber_extendedstatus","source_ua_birthday_extendedstatus","incomeSource_extendedstatus","source_citizen_extendedstatus","source_ua_regAddress_extendedstatus","sizeIncome_extendedstatus","source_eng_company_code_extendedstatus","source_eng_company_address_extendedstatus","source_ukr_company_address_extendedstatus","source_ua_middlename_extendedstatus","source_ua_lastname_extendedstatus","source_ua_firstname_extendedstatus","otherObjectType_extendedstatus","source_ua_company_name_extendedstatus","objectType_extendedstatus","source_eng_birthday_extendedstatus","source_eng_regAddress_extendedstatus","source_eng_fullname_extendedstatus","source_eng_taxNumber_extendedstatus","source_ukr_regAddress_extendedstatus","declarant","subjectRelation"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","salarysecond","","","","","","1476743018040","","FALSE","j","","","35372210","ТОВ ""МАЙНДШЕР""","","1477253764322","","Юридична особа, зареєстрована в Україні",127522,"","","Заробітна плата отримана за сумісництвом","1477253764322","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","presentnomoney","","","","","","1476743018040","","FALSE","j","","","21716375","ОБ'ЄДНАННЯ ПЕРВИННИХ ПРОФСПІЛКОВИХ ОРГАНІЗАЦІЙ ПІДПРИЄМСТВ КОМУНАЛЬНОЇ КОРПОРАЦІЇ ""КИЇВАВТОДОР""","","1477254158390","","Юридична особа, зареєстрована в Україні",60,"","","Подарунок у негрошовій формі","1477254158390","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","other","","","","","","1476743018040","","FALSE","j","інші доходи","","23494714","ПАТ ""АЛЬФА-БАНК""","","1490739898172","","Юридична особа, зареєстрована в Україні",22,"","","Інше","1490739898172","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","salarymain","","","","","","1","","FALSE","j","","","20064120","Управління справами Апарату Верховної Ради України","","1476827882465","","Юридична особа, зареєстрована в Україні",253658,"","","Заробітна плата отримана за основним місцем роботи","1476827882465","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"Алексєєв Ігор Сергійович",NA
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","salarymain","","","","","","1476743018040","","FALSE","j","","","02070944","КИЇВСЬКИЙ НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ІМЕНІ ТАРАСА ШЕВЧЕНКА","","1477247845781","","Юридична особа, зареєстрована в Україні",137018,"","","Заробітна плата отримана за основним місцем роботи","1477247845781","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE","contractfee","","","","","","1476743018040","","FALSE","j","","","05416745","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ПО УТРИМАННЮ ЗЕЛЕНИХ НАСАДЖЕНЬ ОБОЛОНСЬКОГО РАЙОНУ М.КИЄВА","","1477249938943","","Юридична особа, зареєстрована в Україні",50600,"","","Гонорари та інші виплати згідно з цивільно-правовим правочинами","1477249938943","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","TRUE","leasing","","","","Тетро Ріта Лей","","1","","FALSE","j","","Tetro Rita Ley","","","","1490889174916","","Іноземний громадянин",117459,"","","Дохід від надання майна в оренду","1490889174916","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2",NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","FALSE","leasing","","","","","","1","","FALSE","j","","","20034231","АТ ""ПІРЕУС БАНК МКБ""","","1490888842141","","Юридична особа, зареєстрована в Україні",1260754,"","","Дохід від надання майна в оренду","1490888842141","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","FALSE","salarymain","","","","","","1","","FALSE","j","","","20064120","Управління справами Апарату Верховної Ради України","","1490888675928","","Юридична особа, зареєстрована в Україні",262282,"","","Заробітна плата отримана за основним місцем роботи","1490888675928","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","FALSE","salarymain","","","","","","1490801022966","","FALSE","1490801022966","","","","","","1490889832506","","",74192,"","","Заробітна плата отримана за основним місцем роботи","1490889832506","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Алєксєєва  Олена Юріївна","дружина"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","FALSE","other","","","","","","1","","FALSE","j","Відшкодування витрат, пов'язних з виконанням депутатських повноважень","","20064120","Управління справами Апарату Верховної Ради України","","1490888466231","","Юридична особа, зареєстрована в Україні",252825,"","","Інше","1490888466231","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","FALSE","leasing","","FALSE","","","","1490801022966","","FALSE","j","","","","","Ярошовець","1490889910680","Ірина","Громадянин України",229032,"","Василівна","Дохід від надання майна в оренду","1490889910680","Власність","",NA,NA,NA,"2","2",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Алєксєєва  Олена Юріївна","дружина"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","FALSE","royalty","","","","","","1","","FALSE","j","","","40064321","Товариство з обмеженою відповідальністю ""Юридична компанія ""Алєксєєв, Боярчуков та партнери""","","1490889002887","","Юридична особа, зареєстрована в Україні",1000,"","","Роялті","1490889002887","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Амельченко Василь Васильович","Верховна Рада України, Комітет з питань бюджету","народний депутат України, перший заступник голови Комітету з питань бюджету ВРУ","nacp_3ab4d804-28b1-4301-bd3a-16ca01c537fc","Амельченко","FALSE","Васильович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3ab4d804-28b1-4301-bd3a-16ca01c537fc","Василь","FALSE","salarymain","","","","","","1","","FALSE","j","","","20064120","Верховна Рада України","","1477845773590","","Юридична особа, зареєстрована в Україні",202679,"","","Заробітна плата отримана за основним місцем роботи","1477845773590","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Амельченко Василь Васильович",NA
"Амельченко Василь Васильович","Верховна Рада України, Комітет з питань бюджету","народний депутат України, перший заступник голови Комітету з питань бюджету ВРУ","nacp_3ab4d804-28b1-4301-bd3a-16ca01c537fc","Амельченко","FALSE","Васильович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3ab4d804-28b1-4301-bd3a-16ca01c537fc","Василь","FALSE","other","","","","","","1","","FALSE","j","кошти","","20064120","Управління справами Верховної Ради України","","1490873526501","","Юридична особа, зареєстрована в Україні",256895,"","","Інше","1490873526501","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Амельченко Василь Васильович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","other","","","","","","1","","FALSE","j","відшкодування витрат, пов'язаних із виконанням депутатьських повноважень відповідно до частини четвертої статті 32 Закону України про статуснародного депктата України","","20064120","Управління справами Верховної Ради України","","1490123978837","","Юридична особа, зареєстрована в Україні",252825,"","","Інше","1490123978837","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","presentnomoney","","FALSE","","","","1","","FALSE","j","","","","","колектив комітету","1519068028196","колектив комітету","Громадянин України",11900,"","","Подарунок у негрошовій формі","1519068028196","Власність","",NA,NA,"2","2","2",NA,NA,"2",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","other","","","","","","1","","FALSE","j","повернення поворотної фінансової допомоги","","32776340","ТОВ ""Форум-Капітал""","","1478250950972","","Юридична особа, зареєстрована в Україні",876777,"","","Інше","1478250950972","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","presentnomoney","","TRUE","","","","1","","FALSE","j","","","","","Воронов","1519067163178","Ігор","Громадянин України",127815,"","Олексійович","Подарунок у негрошовій формі","1519067163178","Власність","",NA,NA,"2","0","0",NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","salarymain","","","","","","1","","FALSE","j","","","20064120","Управління справами Апарату Верховної Ради України","","1477510913111","","Юридична особа, зареєстрована в Україні",267573,"","","Заробітна плата отримана за основним місцем роботи","1477510913111","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","other","","","","","","1","","FALSE","j","повернення поворотної фінансової допомоги","","37888829","ТОВ ""Управляюча компанія ""Інтеко""","","1477649215675","","Юридична особа, зареєстрована в Україні",3440920,"","","Інше","1477649215675","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","business","","","","","","1519059995746","","TRUE","j","","","","","","1519064694272","","Юридична особа, зареєстрована в Україні",0,"","","Дохід від зайняття підприємницькою діяльністю","1519064694272","Власність","",NA,"3",NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,"Кириченко Катерина Володимирівна","дружина"
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","other","","","","","","1","","FALSE","j","повернення поворотної фінансової допомоги","","35679065","ТОВ ""Інтеко Конкріт""","","1478250674021","","Юридична особа, зареєстрована в Україні",40000,"","","Інше","1478250674021","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
"Андрієвський Дмитро Йосипович","Верховна Рада України","Народний депутат України","nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Андрієвський","FALSE","Йосипович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_37fa91a0-25c5-4802-9c49-c3fafdc99a59","Дмитро","FALSE","other","","","","","","1","","FALSE","j","повернення поворотної фінансової допомоги","","32985720","ТОВ ""Екотехбудсервіс""","","1478250561204","","Юридична особа, зареєстрована в Україні",766000,"","","Інше","1478250561204","Власність","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Андрієвський Дмитро Йосипович",NA
