"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","costDateOrigin_extendedstatus","otherObjectType","iteration","person","costDateOrigin","owningDate","descriptionObject","objectType","object_id","ownershipType","otherOwnership","percent.ownership","owningDate_extendedstatus","descriptionObject_extendedstatus","declarant","subjectRelation"
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663569035","1","",2010-11-25,"Патент на корисну модель №54942","Авторське право","1477663569035",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663085819","1","",2009-10-12,"Патент на корисну модель №44831","Авторське право","1477663085819",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1521987163134","1","",2017-02-27,"Патент на корисну модель №113877","Авторське право","1521987163134",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1521987246510","1","",2017-12-26,"Патент на корисну модель №122290","Авторське право","1521987246510",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664269405","1","",2013-07-25,"Патент на корисну модель №82395","Авторське право","1477664269405",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477662953028","1","",2008-10-10,"Патент на корисну модель №36007","Авторське право","1477662953028",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664743908","1","",2015-08-25,"Патент на корисну модель №101244","Авторське право","1477664743908",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663189812","1","",2009-11-10,"Патент на корисну модель №45570","Авторське право","1477663189812",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1521987066183","1","",2016-11-10,"Патент на корисну модель №111596","Авторське право","1521987066183",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1521986585065","1","",2016-04-25,"Патент на корисну модель №111428","Авторське право","1521986585065",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663451352","1","",2010-02-10,"Патент на корисну модель №47589","Авторське право","1477663451352",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1521986792761","1","",2016-09-26,"Патент на корисну модель №110213","Авторське право","1521986792761",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664095779","1","",2013-07-10,"Патент на корисну модель №81994","Авторське право","1477664095779",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664530833","1","",2015-03-25,"Патент на корисну модель №97714","Авторське право","1477664530833",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477662509038","1","",2007-11-26,"Патент на корисну модель № 28246","Авторське право","1477662509038",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664649771","1","",2015-06-25,"Патент на корисну модель №100000","Авторське право","1477664649771",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663325671","1","",2009-12-10,"Патент на корисну модель №46330","Авторське право","1477663325671",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664836764","1","",2015-09-10,"Патент на корисну модель №101460","Авторське право","1477664836764",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477662804045","1","",2008-09-25,"Патент на корисну модель №35654","Авторське право","1477662804045",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664443172","1","",2015-03-10,"Патент на корисну модель №97421","Авторське право","1477664443172",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663970364","1","",2012-08-27,"Патент на корисну модель №72815","Авторське право","1477663970364",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1521986894981","1","",2016-10-10,"Патент на корисну модель №110423","Авторське право","1521986894981",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663692422","1","",2011-02-25,"Патент на корисну модель №57504","Авторське право","1477663692422",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477664923592","1","",2015-09-25,"Патент на корисну модель №101637","Авторське право","1477664923592",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1477663814507","1","",2012-07-25,"Патент на корисну модель №71939","Авторське право","1477663814507",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Білозір Оксана Володимирівна","Верховна Рада України ","Народний депутат України","nacp_9e148122-427b-43ba-a3c3-cfc313dba098","Білозір","TRUE","Володимирівна",2018-04-07,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_9e148122-427b-43ba-a3c3-cfc313dba098","Оксана",NA,"","1478102891511","1","1000",2012-05-29,"Майнові права на твір - книга ""Біла зірка України""","Авторське право","1478102891511","Власність","",NA,NA,NA,"Білозір Оксана Володимирівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477646914206","1","",1990-01-01,"Музика до пісні ""Ой, Андрійку""","Авторське право","1477646914206","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477652204973","1","",2001-01-01,"Музика до пісні ""На Івана на Купала""","Авторське право","1477652204973","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477649323617","1","",1993-01-01,"Музика до пісні ""Портрет""","Авторське право","1477649323617","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477648751373","1","",1989-01-01,"Слова до пісні ""Я тим щаслива""","Авторське право","1477648751373","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477652421851","1","",2002-01-01,"Слова до пісні ""Не питай""","Авторське право","1477652421851","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477645027628","1","",2014-06-10,"Знак для товарів і послуг ""Асимметрия; Край; Кровоточивость; Окрас; Размер; Динамика.""","Торгова марка чи комерційне найменування","1477645027628","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477653050347","1","",2000-01-01,"Музика до пісні ""Ще вруняться""","Авторське право","1477653050347","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477646829427","1","",1984-01-01,"Музика до пісні ""І не минає""","Авторське право","1477646829427","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477644124024","1","",2004-10-15,"Спосіб лікування врослого волосся","Винахід","1477644124024","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477647626898","1","",1984-01-01,"Слова до пісні ""Саксофон""","Авторське право","1477647626898","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477653758883","1","",2013-05-27,"Співавтор наукового твору ""Метод дистанційного навчання лікарів""","Авторське право","1477653758883","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477644565528","1","",2014-04-25,"Знак для товарів і послуг ""Українська асоціація теледарматології""","Торгова марка чи комерційне найменування","1477644565528","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477654204119","1477560601122","",2013-05-27,"Співавтор наукового твору ""Метод дистанційного навчання лікарів""","Авторське право","1477654204119","Власність","",NA,NA,NA,"Кирилюк Ігор Вікторович","чоловік"
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477643633963","1","",2001-05-15,"Спосіб лікування плоских гемангіом шкіри у дорослих","Винахід","1477643633963","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477650076145","1","",1995-01-01,"Музика до пісні ""Лист з неоліту""","Авторське право","1477650076145","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477647401367","1","",1983-01-01,"Музика до пісні ""Я святкую життя""","Авторське право","1477647401367","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
"Богомолець Ольга Вадимівна","Верховна Рада України","народний депутат України, голова Комітету Верховної Ради України з питань охорони здоров'я","nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Богомолець","FALSE","Вадимівна",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_db2e71d7-034a-43b4-a783-372d0ca1bb52","Ольга","2","","1477648590434","1","",1988-01-01,"Музика до пісні ""Ой, на морі""","Авторське право","1477648590434","Власність","",NA,NA,NA,"Богомолець Ольга Вадимівна",NA
