"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","costDateOrigin_extendedstatus","otherObjectType","iteration","person","costDateOrigin","owningDate","descriptionObject","objectType","object_id","ownershipType","otherOwnership","percent.ownership","owningDate_extendedstatus","descriptionObject_extendedstatus","declarant","subjectRelation"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","2","Знак на товари та послуги","1490888005151","1","",2015-08-25,"Знак найменування ""Алєксєєв, Боярчуков та партнери""","Інше","1490888005151","Спільна власність","",50,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","2","Знак для товарів і послуг","1490888129105","1","",2015-08-10,"Логотип зображення знаку ""Алєксєєв, Боярчуков та партнери""","Інше","1490888129105","Спільна власність","",50,NA,NA,"Алєксєєв Сергій Олегович",NA
"Ар'єв Володимир Ігорович","Верховна Рада України","народний депутат України","nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Ар'єв","FALSE","Ігорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Володимир","2","","1476951392644","1476948529010","",2015-12-31,"документальні цикли ""Відкрита Зона"", ""Майстер-клас"", ""ПроОбраз"", ""Культ Предків""","Авторське право","1476951392644","Власність","",NA,NA,NA,"Фіцич Наталія  Степанівна","дружина"
"Ар'єв Володимир Ігорович","Верховна Рада України","народний депутат України","nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Ар'єв","FALSE","Ігорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Володимир","2","",NA,"1476948529010","",2013-01-01,"документальні фільми ""День Сьомий"", ""Повернення""","Авторське право","1476951467240","Власність","",NA,NA,NA,"Фіцич Наталія  Степанівна","дружина"
"Ар'єв Володимир Ігорович","Верховна Рада України","народний депутат України","nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Ар'єв","FALSE","Ігорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Володимир","2","",NA,"1","",2013-01-01,"документальні фільми власного виробництва ""Таємниця Чорного моря"" та ""Куренівська трагедія""","Авторське право","1476951195881","Інше право користування","немайнове авторське право",NA,NA,NA,"Ар'єв Володимир Ігорович",NA
"Ар'єв Володимир Ігорович","Верховна Рада України","народний депутат України","nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Ар'єв","FALSE","Ігорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Володимир","2","",NA,"1","",2007-01-01,"документальний цикл ""Донецька мафія""","Авторське право","1476951341235","Власність","",NA,NA,NA,"Ар'єв Володимир Ігорович",NA
"Ар'єв Володимир Ігорович","Верховна Рада України","народний депутат України","nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Ар'єв","FALSE","Ігорович",2018-03-26,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_23200a41-d9c1-44a6-a6c0-963701838d03","Володимир","2","",NA,"1","",2007-08-31,"серія фільмів проекту журналістських розслідувань ""Закрита Зона""","Авторське право","1476951044272","Власність","",NA,NA,NA,"Ар'єв Володимир Ігорович",NA
"Береза Юрій Миколайович","Верховна Рада України","народний депутат України","nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Береза","TRUE","Миколайович",2018-04-06,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_3cd6687e-2a87-4eca-a503-abeabee65e5a","Юрій","2","","1522400121612","1","",2017-11-13,"Графічне зображення з включенням словосполучення ""ДНІПРО-1 СПОРТИВНИЙ КЛУБ""","Авторське право","1522400121612","Власність","",NA,NA,NA,"Береза Юрій Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1521986979685","1","",2016-10-25,"Патент на корисну модель №110929","Авторське право","1521986979685",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
"Біловол Олександр Миколайович","ВЕРХОВНА РАДА УКРАЇНИ","Народний депутат України, член Президії Національної академії медичних наук України","nacp_10033af0-2d26-4644-8592-6c8425bbc468","Біловол","FALSE","Миколайович",2018-03-25,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_10033af0-2d26-4644-8592-6c8425bbc468","Олександр","2","","1490717127875","1","",2016-02-25,"Патент на корисну модель №110906","Авторське право","1490717127875",NA,NA,NA,NA,NA,"Біловол Олександр Миколайович",NA
