"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","manufacturerName_extendedstatus","otherObjectType","costDateUse_extendedstatus","dateUse","costDateUse","trademark","dnt_costDateUse_hidden","person","acqBeforeFD","dateUse_extendedstatus","acqPeriod","trademark_extendedstatus","manufacturerName","propertyDescr","objectType","object_id","ownershipType","otherOwnership","percent.ownership","iteration","propertyDescr_extendedstatus","typeProperty","otherTypeProperty","otherObjectType_extendedstatus","declarant","subjectRelation"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","1","годинник чоловічий","2","","0","Frank Muller","TRUE","1","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"","чоловічий годинник Frank Muller","Інше","1477562217778","Власність","",100,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","1","годинник жіночий","2","","0","Vasheron Constantin","TRUE","1476705147748","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"","жіночий годинник Vasheron Constantin","Інше","1477562731292","Власність","",100,NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","1","годинник жіночий ","2","","0","Girard - Perregaux","TRUE","1476705147748","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"","жіночий годинник Girard - Perregaux","Інше","1477562524033","Власність","",100,NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","1","годинник чоловічий","2","","0","Ulysse Nardin","TRUE","1","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"","чоловічий годинник Ulysse Nardin","Інше","1477562073731","Власність","",100,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","1","годинник чоловічий","2","","0","Patek Philippe","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"","чоловічий годинник Patek Philippe","Інше","1477561803986","Власність","",100,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","1","годинник чоловічий","2","","0","Vacheron Constantin","TRUE","1","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"","чоловічий годинник Vacheron Constantin","Інше","1477562366331","Власність","",100,NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","1","","2","","0","","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","1","","сережки","Ювелірні вироби","1477251282405","Власність","",100,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","2","","2","","0","","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","2","","каблучка","Ювелірні вироби","1477251076041","Власність","",100,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","1","годинник","2","","0","Jean Richard","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"","годинник","Інше","1477250838229","Власність","",100,"1477250838229",NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","2","","2","","0","","TRUE","1","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","2","","картина","Твір мистецтва (картина тощо)","1477602964648","Власність","",100,"1477602964648",NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","2","","2","","0","","TRUE","1","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","2","","картина","Твір мистецтва (картина тощо)","1477602894362","Власність","",100,"1477602894362",NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","1","","2","","0","","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","1","","кулон","Ювелірні вироби","1477251222272","Власність","",100,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","2","","2","","0","","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","2","","шуба","Одяг","1477603151584","Власність","",100,"1477603151584",NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","1","","2","","0","","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","1","","картина","Твір мистецтва (картина тощо)","1477603058920","Власність","",100,"1477603058920",NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Агафонова Наталія Володимирівна","Верховна Рада України","народний депутат України","nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Агафонова","FALSE","Володимирівна",2018-03-16,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_a04435e8-71d7-4fee-aae4-26de0d3c0e82","Наталія","2","","2","","0","","TRUE","1","TRUE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","2","","гарнітур","Ювелірні вироби","1477503685495","Власність","",100,NA,NA,NA,NA,NA,"Агафонова Наталія Володимирівна",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","1","","2","","0","","TRUE","1490801022966","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","1","","Золоте кольє з діамантами","Ювелірні вироби","1490880772669","Власність","",NA,"1490880772669",NA,NA,NA,NA,"Алєксєєва  Олена Юріївна","дружина"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","1","","2","","0","","TRUE","1490801022966","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування","1","","сережки золоті з діамантами","Ювелірні вироби","1490880845234","Власність","",NA,"1490880845234",NA,NA,NA,NA,"Алєксєєва  Олена Юріївна","дружина"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій",NA,"","2","","0","Зайченко Г.Г.","TRUE","1","FALSE","2","Майно набуто ДО ПОЧАТКУ ПЕРІОДУ здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"Зайченко Г.Г.","Картина українського художника Зайченко Г.Г.","Твір мистецтва (картина тощо)","1490864565134","Власність","",NA,"1490864565134",NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій",NA,"Годинник","2","","0","Chopard","TRUE","1490801022966","FALSE","2","Майно набуто У ПЕРІОД здійснення суб'єктом декларування діяльності із виконання функцій держави або місцевого самоврядування",NA,"Chopard","Годинник наручний механічний Chopard золотий (жіночий)","Інше","1490880461026","Власність","",100,"1490880461026",NA,NA,NA,NA,"Алєксєєва  Олена Юріївна","дружина"
